HybridizationREF,NA6985,NA6991,NA6993,NA6994,NA7000,NA7019,NA7022,NA7029,NA7034,NA7048,NA7055,NA7056,NA7345,NA7348,NA7357
ILMN_1715169,13.38,13.87,9,7.59,9.13,14.42,13.54,9.43,9.25,9.07,7.81,13.94,7.58,7.44,8.29
ILMN_1697499,13.7,8.51,7.56,8.37,7.48,8.04,13.95,7.4,7.42,7.17,7,14.2,7.55,7.44,6.95
